Time,Outage1,Outage2,Outage3,Outage4,Outage5,Outage6,Outage7,Outage8,Outage9,Outage10,Outage11,Outage12,Outage13,Outage14,Outage15,Outage16,Outage17,Outage18,Outage19,Outage20,Outage21,Outage22,Outage23,Outage24,Outage25,Outage26,Outage27,Outage28,Outage29,Outage30,Outage31,Outage32,Outage33,Outage34,Outage35,Outage36,Outage37,Outage38,Outage39,Outage40,Outage41,Outage42,Outage43,Outage44,Outage45,Outage46,Outage47
0,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563
0.00833,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563
0.01666,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563
0.02499,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563
0.03332,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563
0.04165,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563
0.04998,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563
0.05831,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563
0.06664,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563
0.07497,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563
0.0833,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563,1.011264563
